date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:43:12	1959312/1959312	---M--	200	added ('OK')	image/png	etag:%221de590-5e4e031f%22	http://www.newbird.co.kr/nbadm/data/uploads/54197b72257912d89ff62856312783211582170911_5984.PNG	C:/Users/vnddn/Desktop/PORTFOFOFO/www.newbird.co.kr/nbadm/data/uploads/54197b72257912d89ff62856312783211582170911_5984.png	(from http://www.newbird.co.kr/)
11:43:14	11980/11980	---MCZ	200	added ('OK')	text/html	date:Sat,%2030%20May%202020%2002:43:14%20GMT	http://www.newbird.co.kr/portfolio/view.html?idx=92	C:/Users/vnddn/Desktop/PORTFOFOFO/www.newbird.co.kr/portfolio/viewf435.html	(from http://www.newbird.co.kr/)
11:43:48	265904/265904	---M--	200	added ('OK')	image/jpeg	etag:%2240eb0-5d3ef6ff%22	http://www.newbird.co.kr/nbadm/data/uploads/40499d93de71ef8f3db76ae65ecc44581564407551_40609.jpg	C:/Users/vnddn/Desktop/PORTFOFOFO/www.newbird.co.kr/nbadm/data/uploads/40499d93de71ef8f3db76ae65ecc44581564407551_40609.jpg	(from http://www.newbird.co.kr/)
11:43:49	12080/12080	---MCZ	200	added ('OK')	text/html	date:Sat,%2030%20May%202020%2002:43:50%20GMT	http://www.newbird.co.kr/portfolio/view.html?idx=30	C:/Users/vnddn/Desktop/PORTFOFOFO/www.newbird.co.kr/portfolio/view306b.html	(from http://www.newbird.co.kr/)
11:43:52	15095/15095	---M--	200	added ('OK')	image/jpeg	etag:%223af7-5d4196cd%22	http://www.newbird.co.kr/nbadm/data/uploads/7ba8ca4e77bcc9cbdaa800a9c68465f31564579533_5031.jpg	C:/Users/vnddn/Desktop/PORTFOFOFO/www.newbird.co.kr/nbadm/data/uploads/7ba8ca4e77bcc9cbdaa800a9c68465f31564579533_5031.jpg	(from http://www.newbird.co.kr/)
11:43:53	11785/11785	---MCZ	200	added ('OK')	text/html	date:Sat,%2030%20May%202020%2002:43:54%20GMT	http://www.newbird.co.kr/portfolio/view.html?idx=81	C:/Users/vnddn/Desktop/PORTFOFOFO/www.newbird.co.kr/portfolio/view5eb3.html	(from http://www.newbird.co.kr/)
11:43:54	376190/376190	---M--	200	added ('OK')	image/jpeg	etag:%225bd7e-5d161364%22	http://www.newbird.co.kr/nbadm/data/uploads/3a11ecd3baa86314dedd201f4f802f1c1561727844_86906.jpg	C:/Users/vnddn/Desktop/PORTFOFOFO/www.newbird.co.kr/nbadm/data/uploads/3a11ecd3baa86314dedd201f4f802f1c1561727844_86906.jpg	(from http://www.newbird.co.kr/)
11:43:56	11784/11784	---MCZ	200	added ('OK')	text/html	date:Sat,%2030%20May%202020%2002:43:57%20GMT	http://www.newbird.co.kr/portfolio/view.html?idx=90	C:/Users/vnddn/Desktop/PORTFOFOFO/www.newbird.co.kr/portfolio/view204e.html	(from http://www.newbird.co.kr/)
11:43:59	288715/288715	---M--	200	added ('OK')	image/jpeg	etag:%22467cb-5d137311%22	http://www.newbird.co.kr/nbadm/data/uploads/3c6918d86a66d7390cf72dae3323b0891561555729_72801.jpg	C:/Users/vnddn/Desktop/PORTFOFOFO/www.newbird.co.kr/nbadm/data/uploads/3c6918d86a66d7390cf72dae3323b0891561555729_72801.jpg	(from http://www.newbird.co.kr/)
11:44:01	11956/11956	---MCZ	200	added ('OK')	text/html	date:Sat,%2030%20May%202020%2002:44:01%20GMT	http://www.newbird.co.kr/portfolio/view.html?idx=72	C:/Users/vnddn/Desktop/PORTFOFOFO/www.newbird.co.kr/portfolio/view7542.html	(from http://www.newbird.co.kr/)
